Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,PitOutTime,PitInTime,TrackStatus,IsAccurate,Position,StintLap,PaceDelta,IsWinner,IsRedBull,CompundOrdinal
PER,Red Bull Racing,45.0,94.592,SOFT,9.0,3.0,,,1,True,2.0,8,-0.7275000000000063,False,True,0
PER,Red Bull Racing,46.0,94.844,SOFT,10.0,3.0,,,1,True,2.0,9,-0.5949999999999989,False,True,0
PER,Red Bull Racing,47.0,94.73,SOFT,11.0,3.0,,,1,True,2.0,10,-0.9150000000000063,False,True,0
PER,Red Bull Racing,48.0,94.885,SOFT,12.0,3.0,,,1,True,2.0,11,-1.0030000000000001,False,True,0
PER,Red Bull Racing,49.0,94.966,SOFT,13.0,3.0,,,1,True,2.0,12,-0.8280000000000172,False,True,0
PER,Red Bull Racing,50.0,95.082,SOFT,14.0,3.0,,,1,True,2.0,13,-0.7400000000000091,False,True,0
PER,Red Bull Racing,51.0,94.94,SOFT,15.0,3.0,,,1,True,2.0,14,-0.9720000000000084,False,True,0
PER,Red Bull Racing,52.0,95.183,SOFT,16.0,3.0,,,1,True,2.0,15,-0.8224999999999909,False,True,0
PER,Red Bull Racing,53.0,95.842,SOFT,17.0,3.0,,,1,True,2.0,16,-0.14450000000000784,False,True,0
PER,Red Bull Racing,54.0,95.459,SOFT,18.0,3.0,,,1,True,2.0,17,-0.6009999999999991,False,True,0
PER,Red Bull Racing,55.0,95.611,SOFT,19.0,3.0,,,1,True,2.0,18,-0.5690000000000026,False,True,0
PER,Red Bull Racing,56.0,95.568,SOFT,20.0,3.0,,,1,True,2.0,19,-0.5319999999999965,False,True,0
PER,Red Bull Racing,57.0,95.746,SOFT,21.0,3.0,,,1,True,2.0,20,-0.28300000000000125,False,True,0
SAI,Ferrari,2.0,97.236,SOFT,5.0,1.0,,,1,True,5.0,1,-1.036999999999992,False,False,0
SAI,Ferrari,3.0,97.08,SOFT,6.0,1.0,,,1,True,5.0,2,-1.2710000000000008,False,False,0
SAI,Ferrari,4.0,97.264,SOFT,7.0,1.0,,,1,True,5.0,3,-1.0345000000000084,False,False,0
SAI,Ferrari,5.0,98.032,SOFT,8.0,1.0,,,1,True,5.0,4,-0.39749999999999375,False,False,0
SAI,Ferrari,6.0,97.741,SOFT,9.0,1.0,,,1,True,5.0,5,-0.5310000000000059,False,False,0
SAI,Ferrari,7.0,98.26,SOFT,10.0,1.0,,,1,True,5.0,6,-0.24899999999999523,False,False,0
SAI,Ferrari,8.0,98.183,SOFT,11.0,1.0,,,1,True,5.0,7,-0.1839999999999975,False,False,0
SAI,Ferrari,9.0,98.03,SOFT,12.0,1.0,,,1,True,5.0,8,-0.6149999999999949,False,False,0
SAI,Ferrari,11.0,97.656,SOFT,14.0,1.0,,,1,True,3.0,9,-0.660499999999999,False,False,0
SAI,Ferrari,12.0,97.65,SOFT,15.0,1.0,,,1,True,2.0,10,-0.24399999999999977,False,False,0
SAI,Ferrari,13.0,97.243,SOFT,16.0,1.0,,,1,True,2.0,11,-0.12000000000000455,False,False,0
SAI,Ferrari,16.0,96.376,HARD,2.0,2.0,,,1,True,5.0,1,-0.9699999999999989,False,False,2
